ReviewNo,JJP,RBP,JJN,RBN,Polarity,New_sentiment,WordCount,Sentiment
349,3,3,9,1,0.196388889,pos,201,Neutral
350,7,3,7,0,1.944940476,pos,144,Positive
351,4,0,2,0,-0.8125,neg,70,Negative
352,4,1,3,1,-0.056723485,neg,193,Neutral
353,7,4,5,0,2.623958333,pos,379,Positive
354,4,0,1,0,0.073333333,pos,131,Neutral
355,2,0,7,1,-1.629545455,neg,86,Negative
356,4,0,2,0,0.821428571,pos,141,Positive
357,4,3,4,4,1.172906746,pos,223,Positive
358,1,0,2,0,-0.133585859,neg,25,Neutral
359,1,0,3,1,-0.15,neg,114,Neutral
360,0,0,4,0,0.390892857,pos,87,Positive
361,1,2,8,1,-0.129910714,neg,94,Neutral
362,10,2,6,3,2.64652381,pos,184,Positive
363,18,4,1,0,5.753899711,pos,450,Positive
364,9,2,3,0,4.140178571,pos,309,Positive
365,13,5,19,3,1.134503968,pos,581,Positive
366,1,1,1,1,-0.283796597,neg,187,Negative
367,2,0,2,0,-0.3125,neg,73,Negative
368,1,3,0,1,1.140625,pos,97,Positive
369,8,0,1,0,0.293465909,pos,62,Positive
370,4,0,2,0,-0.480555556,neg,90,Negative
371,7,5,2,2,2.477911255,pos,176,Positive
372,5,2,1,0,0.552400302,pos,162,Positive
373,11,2,10,1,0.15125,pos,404,Neutral
374,11,5,13,3,-0.079540733,neg,249,Neutral
375,1,3,3,0,-0.938052721,neg,157,Negative
376,3,0,2,1,1.535,pos,77,Positive
377,1,0,1,0,0.902777778,pos,45,Positive
378,26,4,11,0,5.534378307,pos,460,Positive
379,0,1,6,2,-0.86875,neg,152,Negative
380,0,1,7,0,0.288095238,pos,113,Positive
381,3,2,0,0,1.825,pos,71,Positive
382,3,0,0,0,2.623333333,pos,48,Positive
383,0,0,2,0,-0.285,neg,24,Negative
384,5,3,4,0,-0.650541126,neg,177,Negative
385,7,0,3,1,2.303050595,pos,131,Positive
386,1,0,2,2,-1.267708333,neg,79,Negative
387,9,3,5,1,1.984672619,pos,127,Positive
388,0,1,0,0,0.0375,pos,30,Neutral
389,9,0,2,1,2.306944444,pos,146,Positive
390,1,0,1,0,1.497869318,pos,83,Positive
391,1,0,2,1,1.406481481,pos,107,Positive
392,3,0,0,0,2.333333333,pos,75,Positive
393,5,2,2,0,2.219454966,pos,160,Positive
394,3,0,0,0,0.383333333,pos,30,Positive
395,1,0,6,2,-0.299404762,neg,173,Negative
396,3,0,6,1,-1.041875,neg,109,Negative
397,3,2,4,0,0.343078231,pos,151,Positive
398,0,0,4,0,-0.095833333,neg,86,Neutral
399,0,2,0,0,0.696666667,pos,49,Positive
400,13,4,6,0,3.217703223,pos,264,Positive
